Nome,Grupo,Gênero,Freq. Feminino,Freq. Masculino,Freq. Total,Freq. do Grupo,Probabilidade,Nomes alternativos
AABRAO,ABRAAO,M,,26.0,26,32296,1.0,ABRAAO|ABRAHAO|ABRAO|ABRHAO|ABRRAO|ADRAAO|ADRAO|HABRAAO|HABRAO
AADRIANA,ADRIANA,F,94.0,,94,568459,1.0,ABRIANA|ADRAINA|ADRIANA|ADRIANNA|ADRRIANA|ADRYANA|ADRYANNA
AADRIANO,ADRIANO,M,,53.0,53,338554,1.0,ABRIANO|ADRIANNO|ADRIANO|ADRYANO
AAILTON,AILTON,M,,23.0,23,246915,1.0,AELTOM|AELTON|AHILTON|AILTHON|AILTOM|AILTON|ALTOM|ALTON|AYLTOM|AYLTON|EILTON|ELTHON|ELTOM|ELTON|HAELTON|HAILTOM|HAILTON|HAYLTON|HEILTON|HELTHON|HELTOM|HELTON|HILTOM|HILTON|HLTON|HUELTON|HUILTON|HYLTON|IELTON|ILTOM|ILTON|LTON|OELTON|OILTON|UELTOM|UELTON|UILTOM|UILTON|ULTON|YLTON
AALAN,ALAN,M,,27.0,27,221601,1.0,AHLAM|AILAM|AILAN|ALAAN|ALAM|ALAN|ALANN|AYLAN|EILAN|ELAM|ELAN|EULAN|HAILAN|HALAN|HAYLAN|HELAN|HILAN|HUILHAN|IALAN|ILAM|ILAN|ILHAM|ILHAN|IOLAN|LAAN|LAM|LAN|OLAN|UALAN|UILAM|UILAN|UILHAM|UILHAN|YLAN
AALESSANDRA,ALESSANDRA,F,44.0,,44,341637,1.0,ALECHANDRA|ALESSANDRA|ALEXANDRA|ALEXSSANDRA|ELESSANDRA|ELEXANDRA|ELEXSSANDRA|HALESSANDRA|HELESSANDRA|LESSANDRA|LEXANDRA
AALESSANDRO,ALESSANDRO,M,,25.0,25,238113,1.0,ALECHANDRO|ALESSANDRO|ALEXANDRO|ALEXSSANDRO|ELESSANDRO|ELEXANDRO|ELEXSSANDRO|LESSANDRO|LEXANDRO|OLESSANDRO
AALEX,ALEX,M,,36.0,36,312401,1.0,ALESS|ALEX|ELEX|HALEX|LEX|UALEX
AALEXANDRE,ALEXANDRE,M,,70.0,70,448972,1.0,ALECHANDRE|ALESSANDRE|ALEXANDRE|ALEXANDRER|ALEXANNDRE|ALEXSSANDRE|ELESSANDRE|ELEXANDRE|LEXANDRE
AALINE,ALINE,F,66.0,,66,530550,1.0,AILINE|ALEINE|ALIINE|ALINE|ALINER|ALINHE|ALINNE|ALYNE|ALYNNE|AYLINE|EALINE|ELEINE|ELINE|ELINER|ELINNE|ELYNE|EULINE|HALINE|HALYNE|HELEINE|HELINE|HELYNE|IALINE|ILEINE|ILINE|LEINE|LEINER|LEYNE|LINE|LINER|LUEINE|LUINE|LUYNE|LYNE|LYNNE|OLINE|UELINE
AALIYAH,LIA,F,28.0,,28,68767,1.0,AELIA|AILIA|ALAI|ALAIR|ALAUIR|ALAY|ALAYR|ALIA|ALYA|ALYAH|AULAIR|AULIA|ELAI|ELAIR|ELHIA|ELIA|ELIAA|ELIAH|ELIAR|ELYA|EUALIA|EULAIR|EULIA|HALIA|HELAIR|HELIA|HILIA|ILAI|ILAIR|ILIA|IULIA|LAHIR|LAI|LAIR|LAUIR|LAY|LAYR|LIA|LIAH|LIIA|LUIA|LYA|OELIA|OLAI|OLAIR|OLIA|UELIA|UILHIA|UILIA|ULIA|YULIA
AAMANDA,AMANDA,F,89.0,,89,467319,1.0,AMANDA|AMANDAH|AMANDHA|AMANNDA|AMMANDA|HAMANDA
AAMARIA,AMARIA,F,52.0,,52,2951,1.0,AMARAI|AMARAIR|AMARIA
AAN,ANN,M,,24.0,24,268,1.0,AHN|AN|ANN|HAN
